,chunk_name,class_label
39,.\bird_data\chunked_files\Sonus-naturalis-356824_chunk39.wav,Sonus naturalis
40,.\bird_data\chunked_files\Sonus-naturalis-356824_chunk40.wav,Sonus naturalis
41,.\bird_data\chunked_files\Sonus-naturalis-356824_chunk41.wav,Sonus naturalis
42,.\bird_data\chunked_files\Sonus-naturalis-356824_chunk42.wav,Sonus naturalis
43,.\bird_data\chunked_files\Sonus-naturalis-356824_chunk43.wav,Sonus naturalis
44,.\bird_data\chunked_files\Sonus-naturalis-356824_chunk44.wav,Sonus naturalis
45,.\bird_data\chunked_files\Sonus-naturalis-356824_chunk45.wav,Sonus naturalis
46,.\bird_data\chunked_files\Sonus-naturalis-356824_chunk46.wav,Sonus naturalis
47,.\bird_data\chunked_files\Sonus-naturalis-356824_chunk47.wav,Sonus naturalis
48,.\bird_data\chunked_files\Sonus-naturalis-356824_chunk48.wav,Sonus naturalis
49,.\bird_data\chunked_files\Sonus-naturalis-356824_chunk49.wav,Sonus naturalis
50,.\bird_data\chunked_files\Sonus-naturalis-356824_chunk50.wav,Sonus naturalis
51,.\bird_data\chunked_files\Sonus-naturalis-356824_chunk51.wav,Sonus naturalis
52,.\bird_data\chunked_files\Sonus-naturalis-356824_chunk52.wav,Sonus naturalis
53,.\bird_data\chunked_files\Sonus-naturalis-356824_chunk53.wav,Sonus naturalis
54,.\bird_data\chunked_files\Sonus-naturalis-356824_chunk54.wav,Sonus naturalis
55,.\bird_data\chunked_files\Sonus-naturalis-356824_chunk55.wav,Sonus naturalis
56,.\bird_data\chunked_files\Sonus-naturalis-356824_chunk56.wav,Sonus naturalis
57,.\bird_data\chunked_files\Sonus-naturalis-356824_chunk57.wav,Sonus naturalis
58,.\bird_data\chunked_files\Sonus-naturalis-356824_chunk58.wav,Sonus naturalis
59,.\bird_data\chunked_files\Sonus-naturalis-356824_chunk59.wav,Sonus naturalis
60,.\bird_data\chunked_files\Sonus-naturalis-356824_chunk60.wav,Sonus naturalis
61,.\bird_data\chunked_files\Sonus-naturalis-356824_chunk61.wav,Sonus naturalis
62,.\bird_data\chunked_files\Sonus-naturalis-356824_chunk62.wav,Sonus naturalis
63,.\bird_data\chunked_files\Sonus-naturalis-356824_chunk63.wav,Sonus naturalis
64,.\bird_data\chunked_files\Sonus-naturalis-356824_chunk64.wav,Sonus naturalis
65,.\bird_data\chunked_files\Sonus-naturalis-356824_chunk65.wav,Sonus naturalis
66,.\bird_data\chunked_files\Sonus-naturalis-356824_chunk66.wav,Sonus naturalis
67,.\bird_data\chunked_files\Sonus-naturalis-356824_chunk67.wav,Sonus naturalis
68,.\bird_data\chunked_files\Sonus-naturalis-356824_chunk68.wav,Sonus naturalis
69,.\bird_data\chunked_files\Sonus-naturalis-356824_chunk69.wav,Sonus naturalis
70,.\bird_data\chunked_files\Sonus-naturalis-356824_chunk70.wav,Sonus naturalis
71,.\bird_data\chunked_files\Sonus-naturalis-356824_chunk71.wav,Sonus naturalis
72,.\bird_data\chunked_files\Sonus-naturalis-356824_chunk72.wav,Sonus naturalis
73,.\bird_data\chunked_files\Sonus-naturalis-356824_chunk73.wav,Sonus naturalis
74,.\bird_data\chunked_files\Sonus-naturalis-356824_chunk74.wav,Sonus naturalis
75,.\bird_data\chunked_files\Sonus-naturalis-356824_chunk75.wav,Sonus naturalis
76,.\bird_data\chunked_files\Sonus-naturalis-356824_chunk76.wav,Sonus naturalis
77,.\bird_data\chunked_files\Sonus-naturalis-356824_chunk77.wav,Sonus naturalis
78,.\bird_data\chunked_files\Sonus-naturalis-356824_chunk78.wav,Sonus naturalis
79,.\bird_data\chunked_files\Sonus-naturalis-356824_chunk79.wav,Sonus naturalis
80,.\bird_data\chunked_files\Sonus-naturalis-356824_chunk80.wav,Sonus naturalis
81,.\bird_data\chunked_files\Sonus-naturalis-356824_chunk81.wav,Sonus naturalis
82,.\bird_data\chunked_files\Sonus-naturalis-356824_chunk82.wav,Sonus naturalis
83,.\bird_data\chunked_files\Sonus-naturalis-356824_chunk83.wav,Sonus naturalis
84,.\bird_data\chunked_files\Sonus-naturalis-356824_chunk84.wav,Sonus naturalis
85,.\bird_data\chunked_files\Sonus-naturalis-356824_chunk85.wav,Sonus naturalis
86,.\bird_data\chunked_files\Sonus-naturalis-356824_chunk86.wav,Sonus naturalis
87,.\bird_data\chunked_files\Sonus-naturalis-356824_chunk87.wav,Sonus naturalis
88,.\bird_data\chunked_files\Sonus-naturalis-317951_chunk0.wav,Sonus naturalis
89,.\bird_data\chunked_files\Sonus-naturalis-317951_chunk1.wav,Sonus naturalis
90,.\bird_data\chunked_files\Sonus-naturalis-317951_chunk2.wav,Sonus naturalis
91,.\bird_data\chunked_files\Sonus-naturalis-317951_chunk3.wav,Sonus naturalis
92,.\bird_data\chunked_files\Sonus-naturalis-317951_chunk4.wav,Sonus naturalis
93,.\bird_data\chunked_files\Sonus-naturalis-317951_chunk5.wav,Sonus naturalis
94,.\bird_data\chunked_files\Sonus-naturalis-317951_chunk6.wav,Sonus naturalis
95,.\bird_data\chunked_files\Sonus-naturalis-317951_chunk7.wav,Sonus naturalis
96,.\bird_data\chunked_files\Sonus-naturalis-317951_chunk8.wav,Sonus naturalis
97,.\bird_data\chunked_files\Sonus-naturalis-317951_chunk9.wav,Sonus naturalis
98,.\bird_data\chunked_files\Sonus-naturalis-317951_chunk10.wav,Sonus naturalis
99,.\bird_data\chunked_files\Sonus-naturalis-317951_chunk11.wav,Sonus naturalis
100,.\bird_data\chunked_files\Sonus-naturalis-317951_chunk12.wav,Sonus naturalis
101,.\bird_data\chunked_files\Sonus-naturalis-317951_chunk13.wav,Sonus naturalis
102,.\bird_data\chunked_files\Sonus-naturalis-317951_chunk14.wav,Sonus naturalis
103,.\bird_data\chunked_files\Sonus-naturalis-317951_chunk15.wav,Sonus naturalis
104,.\bird_data\chunked_files\Sonus-naturalis-317951_chunk16.wav,Sonus naturalis
105,.\bird_data\chunked_files\Sonus-naturalis-317951_chunk17.wav,Sonus naturalis
106,.\bird_data\chunked_files\Sonus-naturalis-317951_chunk18.wav,Sonus naturalis
107,.\bird_data\chunked_files\Sonus-naturalis-317951_chunk19.wav,Sonus naturalis
108,.\bird_data\chunked_files\Sonus-naturalis-317951_chunk20.wav,Sonus naturalis
109,.\bird_data\chunked_files\Sonus-naturalis-317951_chunk21.wav,Sonus naturalis
110,.\bird_data\chunked_files\Sonus-naturalis-317951_chunk22.wav,Sonus naturalis
111,.\bird_data\chunked_files\Sonus-naturalis-317951_chunk23.wav,Sonus naturalis
112,.\bird_data\chunked_files\Sonus-naturalis-317951_chunk24.wav,Sonus naturalis
113,.\bird_data\chunked_files\Sonus-naturalis-317951_chunk25.wav,Sonus naturalis
114,.\bird_data\chunked_files\Sonus-naturalis-317951_chunk26.wav,Sonus naturalis
115,.\bird_data\chunked_files\Sonus-naturalis-317951_chunk27.wav,Sonus naturalis
116,.\bird_data\chunked_files\Sonus-naturalis-317951_chunk28.wav,Sonus naturalis
117,.\bird_data\chunked_files\Sonus-naturalis-317951_chunk29.wav,Sonus naturalis
118,.\bird_data\chunked_files\Sonus-naturalis-317951_chunk30.wav,Sonus naturalis
119,.\bird_data\chunked_files\Sonus-naturalis-317951_chunk31.wav,Sonus naturalis
120,.\bird_data\chunked_files\Sonus-naturalis-317951_chunk32.wav,Sonus naturalis
121,.\bird_data\chunked_files\Sonus-naturalis-317951_chunk33.wav,Sonus naturalis
122,.\bird_data\chunked_files\Sonus-naturalis-317951_chunk34.wav,Sonus naturalis
123,.\bird_data\chunked_files\Sonus-naturalis-317951_chunk35.wav,Sonus naturalis
124,.\bird_data\chunked_files\Sonus-naturalis-317951_chunk36.wav,Sonus naturalis
125,.\bird_data\chunked_files\Sonus-naturalis-317951_chunk37.wav,Sonus naturalis
126,.\bird_data\chunked_files\Sonus-naturalis-317951_chunk38.wav,Sonus naturalis
127,.\bird_data\chunked_files\Sonus-naturalis-317951_chunk39.wav,Sonus naturalis
128,.\bird_data\chunked_files\Sonus-naturalis-317951_chunk40.wav,Sonus naturalis
129,.\bird_data\chunked_files\Sonus-naturalis-317951_chunk41.wav,Sonus naturalis
130,.\bird_data\chunked_files\Sonus-naturalis-317951_chunk42.wav,Sonus naturalis
131,.\bird_data\chunked_files\Sonus-naturalis-317951_chunk43.wav,Sonus naturalis
132,.\bird_data\chunked_files\Sonus-naturalis-317951_chunk44.wav,Sonus naturalis
133,.\bird_data\chunked_files\Sonus-naturalis-317951_chunk45.wav,Sonus naturalis
134,.\bird_data\chunked_files\Sonus-naturalis-317951_chunk46.wav,Sonus naturalis
135,.\bird_data\chunked_files\Sonus-naturalis-317951_chunk47.wav,Sonus naturalis
136,.\bird_data\chunked_files\Sonus-naturalis-317951_chunk48.wav,Sonus naturalis
137,.\bird_data\chunked_files\Sonus-naturalis-317951_chunk49.wav,Sonus naturalis
138,.\bird_data\chunked_files\Sonus-naturalis-317951_chunk50.wav,Sonus naturalis
139,.\bird_data\chunked_files\Sonus-naturalis-317951_chunk51.wav,Sonus naturalis
140,.\bird_data\chunked_files\Sonus-naturalis-317951_chunk52.wav,Sonus naturalis
141,.\bird_data\chunked_files\Sonus-naturalis-317951_chunk53.wav,Sonus naturalis
142,.\bird_data\chunked_files\Sonus-naturalis-317951_chunk54.wav,Sonus naturalis
143,.\bird_data\chunked_files\Sonus-naturalis-317951_chunk55.wav,Sonus naturalis
144,.\bird_data\chunked_files\Sonus-naturalis-317951_chunk56.wav,Sonus naturalis
145,.\bird_data\chunked_files\Sonus-naturalis-317951_chunk57.wav,Sonus naturalis
146,.\bird_data\chunked_files\Sonus-naturalis-317951_chunk58.wav,Sonus naturalis
147,.\bird_data\chunked_files\Sonus-naturalis-317951_chunk59.wav,Sonus naturalis
148,.\bird_data\chunked_files\Sonus-naturalis-317951_chunk60.wav,Sonus naturalis
149,.\bird_data\chunked_files\Sonus-naturalis-317951_chunk61.wav,Sonus naturalis
150,.\bird_data\chunked_files\Sonus-naturalis-317951_chunk62.wav,Sonus naturalis
151,.\bird_data\chunked_files\Sonus-naturalis-317951_chunk63.wav,Sonus naturalis
152,.\bird_data\chunked_files\Sonus-naturalis-317951_chunk64.wav,Sonus naturalis
153,.\bird_data\chunked_files\Sonus-naturalis-317951_chunk65.wav,Sonus naturalis
154,.\bird_data\chunked_files\Sonus-naturalis-508571_chunk0.wav,Sonus naturalis
155,.\bird_data\chunked_files\Sonus-naturalis-508571_chunk1.wav,Sonus naturalis
156,.\bird_data\chunked_files\Sonus-naturalis-508571_chunk2.wav,Sonus naturalis
157,.\bird_data\chunked_files\Sonus-naturalis-508571_chunk3.wav,Sonus naturalis
158,.\bird_data\chunked_files\Sonus-naturalis-508571_chunk4.wav,Sonus naturalis
159,.\bird_data\chunked_files\Sonus-naturalis-508571_chunk5.wav,Sonus naturalis
160,.\bird_data\chunked_files\Sonus-naturalis-508571_chunk6.wav,Sonus naturalis
161,.\bird_data\chunked_files\Sonus-naturalis-508571_chunk7.wav,Sonus naturalis
162,.\bird_data\chunked_files\Sonus-naturalis-508571_chunk8.wav,Sonus naturalis
163,.\bird_data\chunked_files\Sonus-naturalis-508571_chunk9.wav,Sonus naturalis
164,.\bird_data\chunked_files\Sonus-naturalis-508571_chunk10.wav,Sonus naturalis
165,.\bird_data\chunked_files\Sonus-naturalis-508571_chunk11.wav,Sonus naturalis
166,.\bird_data\chunked_files\Sonus-naturalis-508571_chunk12.wav,Sonus naturalis
167,.\bird_data\chunked_files\Sonus-naturalis-448534_chunk0.wav,Sonus naturalis
168,.\bird_data\chunked_files\Sonus-naturalis-448534_chunk1.wav,Sonus naturalis
169,.\bird_data\chunked_files\Sonus-naturalis-448534_chunk2.wav,Sonus naturalis
170,.\bird_data\chunked_files\Sonus-naturalis-448534_chunk3.wav,Sonus naturalis
171,.\bird_data\chunked_files\Sonus-naturalis-448534_chunk4.wav,Sonus naturalis
172,.\bird_data\chunked_files\Sonus-naturalis-448534_chunk5.wav,Sonus naturalis
173,.\bird_data\chunked_files\Sonus-naturalis-448534_chunk6.wav,Sonus naturalis
174,.\bird_data\chunked_files\Sonus-naturalis-448534_chunk7.wav,Sonus naturalis
175,.\bird_data\chunked_files\Sonus-naturalis-448534_chunk8.wav,Sonus naturalis
176,.\bird_data\chunked_files\Sonus-naturalis-448534_chunk9.wav,Sonus naturalis
177,.\bird_data\chunked_files\Sonus-naturalis-448534_chunk10.wav,Sonus naturalis
178,.\bird_data\chunked_files\Sonus-naturalis-448534_chunk11.wav,Sonus naturalis
179,.\bird_data\chunked_files\Sonus-naturalis-448534_chunk12.wav,Sonus naturalis
180,.\bird_data\chunked_files\Sonus-naturalis-448534_chunk13.wav,Sonus naturalis
181,.\bird_data\chunked_files\Sonus-naturalis-448534_chunk14.wav,Sonus naturalis
182,.\bird_data\chunked_files\Sonus-naturalis-448534_chunk15.wav,Sonus naturalis
183,.\bird_data\chunked_files\Sonus-naturalis-448534_chunk16.wav,Sonus naturalis
184,.\bird_data\chunked_files\Sonus-naturalis-448534_chunk17.wav,Sonus naturalis
185,.\bird_data\chunked_files\Sonus-naturalis-448534_chunk18.wav,Sonus naturalis
186,.\bird_data\chunked_files\Sonus-naturalis-448534_chunk19.wav,Sonus naturalis
187,.\bird_data\chunked_files\Sonus-naturalis-448534_chunk20.wav,Sonus naturalis
188,.\bird_data\chunked_files\Sonus-naturalis-448534_chunk21.wav,Sonus naturalis
189,.\bird_data\chunked_files\Sonus-naturalis-448534_chunk22.wav,Sonus naturalis
190,.\bird_data\chunked_files\Sonus-naturalis-448534_chunk23.wav,Sonus naturalis
191,.\bird_data\chunked_files\Sonus-naturalis-448534_chunk24.wav,Sonus naturalis
192,.\bird_data\chunked_files\Sonus-naturalis-448534_chunk25.wav,Sonus naturalis
193,.\bird_data\chunked_files\Sonus-naturalis-448534_chunk26.wav,Sonus naturalis
194,.\bird_data\chunked_files\Sonus-naturalis-448534_chunk27.wav,Sonus naturalis
195,.\bird_data\chunked_files\Sonus-naturalis-448534_chunk28.wav,Sonus naturalis
196,.\bird_data\chunked_files\Sonus-naturalis-448534_chunk29.wav,Sonus naturalis
197,.\bird_data\chunked_files\Sonus-naturalis-448534_chunk30.wav,Sonus naturalis
198,.\bird_data\chunked_files\Sonus-naturalis-448534_chunk31.wav,Sonus naturalis
199,.\bird_data\chunked_files\Sonus-naturalis-448534_chunk32.wav,Sonus naturalis
200,.\bird_data\chunked_files\Sonus-naturalis-448534_chunk33.wav,Sonus naturalis
201,.\bird_data\chunked_files\Sonus-naturalis-448534_chunk34.wav,Sonus naturalis
202,.\bird_data\chunked_files\Sonus-naturalis-448534_chunk35.wav,Sonus naturalis
203,.\bird_data\chunked_files\Sonus-naturalis-448534_chunk36.wav,Sonus naturalis
204,.\bird_data\chunked_files\Sonus-naturalis-448534_chunk37.wav,Sonus naturalis
205,.\bird_data\chunked_files\Sonus-naturalis-448534_chunk38.wav,Sonus naturalis
206,.\bird_data\chunked_files\Sonus-naturalis-448534_chunk39.wav,Sonus naturalis
207,.\bird_data\chunked_files\Sonus-naturalis-448534_chunk40.wav,Sonus naturalis
208,.\bird_data\chunked_files\Sonus-naturalis-448534_chunk41.wav,Sonus naturalis
209,.\bird_data\chunked_files\Sonus-naturalis-448534_chunk42.wav,Sonus naturalis
210,.\bird_data\chunked_files\Sonus-naturalis-448534_chunk43.wav,Sonus naturalis
211,.\bird_data\chunked_files\Sonus-naturalis-448534_chunk44.wav,Sonus naturalis
212,.\bird_data\chunked_files\Sonus-naturalis-448534_chunk45.wav,Sonus naturalis
213,.\bird_data\chunked_files\Sonus-naturalis-448534_chunk46.wav,Sonus naturalis
214,.\bird_data\chunked_files\Sonus-naturalis-448534_chunk47.wav,Sonus naturalis
215,.\bird_data\chunked_files\Sonus-naturalis-448534_chunk48.wav,Sonus naturalis
216,.\bird_data\chunked_files\Sonus-naturalis-448534_chunk49.wav,Sonus naturalis
217,.\bird_data\chunked_files\Sonus-naturalis-448534_chunk50.wav,Sonus naturalis
218,.\bird_data\chunked_files\Sonus-naturalis-448534_chunk51.wav,Sonus naturalis
219,.\bird_data\chunked_files\Sonus-naturalis-448534_chunk52.wav,Sonus naturalis
220,.\bird_data\chunked_files\Sonus-naturalis-448534_chunk53.wav,Sonus naturalis
221,.\bird_data\chunked_files\Sonus-naturalis-448534_chunk54.wav,Sonus naturalis
222,.\bird_data\chunked_files\Sonus-naturalis-448534_chunk55.wav,Sonus naturalis
223,.\bird_data\chunked_files\Sonus-naturalis-448534_chunk56.wav,Sonus naturalis
224,.\bird_data\chunked_files\Sonus-naturalis-448534_chunk57.wav,Sonus naturalis
225,.\bird_data\chunked_files\Sonus-naturalis-448534_chunk58.wav,Sonus naturalis
226,.\bird_data\chunked_files\Sonus-naturalis-448534_chunk59.wav,Sonus naturalis
227,.\bird_data\chunked_files\Sonus-naturalis-448534_chunk60.wav,Sonus naturalis
228,.\bird_data\chunked_files\Sonus-naturalis-448534_chunk61.wav,Sonus naturalis
229,.\bird_data\chunked_files\Sonus-naturalis-448534_chunk62.wav,Sonus naturalis
230,.\bird_data\chunked_files\Sonus-naturalis-448534_chunk63.wav,Sonus naturalis
231,.\bird_data\chunked_files\Sonus-naturalis-448534_chunk64.wav,Sonus naturalis
232,.\bird_data\chunked_files\Sonus-naturalis-448534_chunk65.wav,Sonus naturalis
233,.\bird_data\chunked_files\Sonus-naturalis-448534_chunk66.wav,Sonus naturalis
234,.\bird_data\chunked_files\Sonus-naturalis-448534_chunk67.wav,Sonus naturalis
235,.\bird_data\chunked_files\Sonus-naturalis-448534_chunk68.wav,Sonus naturalis
236,.\bird_data\chunked_files\Sonus-naturalis-448534_chunk69.wav,Sonus naturalis
237,.\bird_data\chunked_files\Sonus-naturalis-448534_chunk70.wav,Sonus naturalis
238,.\bird_data\chunked_files\Sonus-naturalis-448534_chunk71.wav,Sonus naturalis
239,.\bird_data\chunked_files\Sonus-naturalis-448534_chunk72.wav,Sonus naturalis
240,.\bird_data\chunked_files\Sonus-naturalis-448534_chunk73.wav,Sonus naturalis
241,.\bird_data\chunked_files\Sonus-naturalis-448534_chunk74.wav,Sonus naturalis
242,.\bird_data\chunked_files\Sonus-naturalis-448534_chunk75.wav,Sonus naturalis
243,.\bird_data\chunked_files\Sonus-naturalis-448534_chunk76.wav,Sonus naturalis
244,.\bird_data\chunked_files\Sonus-naturalis-448534_chunk77.wav,Sonus naturalis
245,.\bird_data\chunked_files\Sonus-naturalis-448534_chunk78.wav,Sonus naturalis
246,.\bird_data\chunked_files\Sonus-naturalis-448534_chunk79.wav,Sonus naturalis
247,.\bird_data\chunked_files\Sonus-naturalis-448534_chunk80.wav,Sonus naturalis
248,.\bird_data\chunked_files\Sonus-naturalis-448534_chunk81.wav,Sonus naturalis
249,.\bird_data\chunked_files\Sonus-naturalis-448534_chunk82.wav,Sonus naturalis
250,.\bird_data\chunked_files\Sonus-naturalis-448534_chunk83.wav,Sonus naturalis
251,.\bird_data\chunked_files\Sonus-naturalis-448534_chunk84.wav,Sonus naturalis
252,.\bird_data\chunked_files\Sonus-naturalis-448534_chunk85.wav,Sonus naturalis
253,.\bird_data\chunked_files\Sonus-naturalis-448534_chunk86.wav,Sonus naturalis
254,.\bird_data\chunked_files\Sonus-naturalis-448534_chunk87.wav,Sonus naturalis
255,.\bird_data\chunked_files\Sonus-naturalis-448534_chunk88.wav,Sonus naturalis
256,.\bird_data\chunked_files\Sonus-naturalis-448534_chunk89.wav,Sonus naturalis
257,.\bird_data\chunked_files\Sonus-naturalis-448534_chunk90.wav,Sonus naturalis
258,.\bird_data\chunked_files\Sonus-naturalis-448534_chunk91.wav,Sonus naturalis
259,.\bird_data\chunked_files\Sonus-naturalis-448534_chunk92.wav,Sonus naturalis
260,.\bird_data\chunked_files\Sonus-naturalis-448534_chunk93.wav,Sonus naturalis
261,.\bird_data\chunked_files\Sonus-naturalis-448534_chunk94.wav,Sonus naturalis
262,.\bird_data\chunked_files\Sonus-naturalis-448534_chunk95.wav,Sonus naturalis
263,.\bird_data\chunked_files\Sonus-naturalis-448534_chunk96.wav,Sonus naturalis
264,.\bird_data\chunked_files\Sonus-naturalis-448534_chunk97.wav,Sonus naturalis
265,.\bird_data\chunked_files\Sonus-naturalis-448534_chunk98.wav,Sonus naturalis
266,.\bird_data\chunked_files\Sonus-naturalis-448534_chunk99.wav,Sonus naturalis
267,.\bird_data\chunked_files\Sonus-naturalis-448534_chunk100.wav,Sonus naturalis
268,.\bird_data\chunked_files\Sonus-naturalis-448534_chunk101.wav,Sonus naturalis
269,.\bird_data\chunked_files\Sonus-naturalis-448534_chunk102.wav,Sonus naturalis
270,.\bird_data\chunked_files\Sonus-naturalis-448534_chunk103.wav,Sonus naturalis
271,.\bird_data\chunked_files\Sonus-naturalis-448534_chunk104.wav,Sonus naturalis
272,.\bird_data\chunked_files\Sonus-naturalis-448534_chunk105.wav,Sonus naturalis
273,.\bird_data\chunked_files\Sonus-naturalis-448534_chunk106.wav,Sonus naturalis
274,.\bird_data\chunked_files\Sonus-naturalis-448534_chunk107.wav,Sonus naturalis
275,.\bird_data\chunked_files\Sonus-naturalis-448534_chunk108.wav,Sonus naturalis
276,.\bird_data\chunked_files\Sonus-naturalis-448534_chunk109.wav,Sonus naturalis
277,.\bird_data\chunked_files\Sonus-naturalis-448534_chunk110.wav,Sonus naturalis
278,.\bird_data\chunked_files\Sonus-naturalis-448534_chunk111.wav,Sonus naturalis
279,.\bird_data\chunked_files\Sonus-naturalis-448534_chunk112.wav,Sonus naturalis
280,.\bird_data\chunked_files\Sonus-naturalis-448534_chunk113.wav,Sonus naturalis
281,.\bird_data\chunked_files\Sonus-naturalis-448534_chunk114.wav,Sonus naturalis
282,.\bird_data\chunked_files\Sonus-naturalis-448534_chunk115.wav,Sonus naturalis
283,.\bird_data\chunked_files\Sonus-naturalis-448534_chunk116.wav,Sonus naturalis
284,.\bird_data\chunked_files\Sonus-naturalis-448534_chunk117.wav,Sonus naturalis
285,.\bird_data\chunked_files\Sonus-naturalis-448534_chunk118.wav,Sonus naturalis
286,.\bird_data\chunked_files\Sonus-naturalis-448534_chunk119.wav,Sonus naturalis
287,.\bird_data\chunked_files\Sonus-naturalis-448534_chunk120.wav,Sonus naturalis
288,.\bird_data\chunked_files\Sonus-naturalis-448534_chunk121.wav,Sonus naturalis
289,.\bird_data\chunked_files\Sonus-naturalis-448534_chunk122.wav,Sonus naturalis
290,.\bird_data\chunked_files\Sonus-naturalis-448534_chunk123.wav,Sonus naturalis
291,.\bird_data\chunked_files\Sonus-naturalis-448534_chunk124.wav,Sonus naturalis
292,.\bird_data\chunked_files\Sonus-naturalis-448534_chunk125.wav,Sonus naturalis
293,.\bird_data\chunked_files\Sonus-naturalis-448534_chunk126.wav,Sonus naturalis
294,.\bird_data\chunked_files\Sonus-naturalis-448534_chunk127.wav,Sonus naturalis
295,.\bird_data\chunked_files\Sonus-naturalis-448534_chunk128.wav,Sonus naturalis
296,.\bird_data\chunked_files\Sonus-naturalis-448534_chunk129.wav,Sonus naturalis
297,.\bird_data\chunked_files\Sonus-naturalis-448534_chunk130.wav,Sonus naturalis
298,.\bird_data\chunked_files\Sonus-naturalis-373414_chunk0.wav,Sonus naturalis
299,.\bird_data\chunked_files\Sonus-naturalis-373414_chunk1.wav,Sonus naturalis
300,.\bird_data\chunked_files\Sonus-naturalis-373414_chunk2.wav,Sonus naturalis
301,.\bird_data\chunked_files\Sonus-naturalis-373414_chunk3.wav,Sonus naturalis
302,.\bird_data\chunked_files\Sonus-naturalis-373414_chunk4.wav,Sonus naturalis
303,.\bird_data\chunked_files\Sonus-naturalis-373414_chunk5.wav,Sonus naturalis
304,.\bird_data\chunked_files\Sonus-naturalis-373414_chunk6.wav,Sonus naturalis
305,.\bird_data\chunked_files\Sonus-naturalis-373414_chunk7.wav,Sonus naturalis
306,.\bird_data\chunked_files\Sonus-naturalis-373414_chunk8.wav,Sonus naturalis
307,.\bird_data\chunked_files\Sonus-naturalis-373414_chunk9.wav,Sonus naturalis
308,.\bird_data\chunked_files\Sonus-naturalis-373414_chunk10.wav,Sonus naturalis
309,.\bird_data\chunked_files\Sonus-naturalis-373414_chunk11.wav,Sonus naturalis
